Ssbsect Term Code,Ssbsect Crn,Ssbsect Subj Code,Ssbsect Crse Numb,Section-Course Title,zst_clob_to_string  'SCBDESC' ,Ssrmeet Start Date,Ssrmeet End Date,Ssrmeet Begin Time,Ssrmeet End Time,Ssrmeet All Days,Ssrmeet Begin Time am/pm,Ssrmeet End Time am/pm round up to 1/2 hr,Ssrfees Fees c,Ssrfees GST c
201382,1204,ECOM,3014,Microsoft Publisher,"Produce visually compelling publications and marketing materials with ease using Microsoft Publisher. Easily create high quality 
brochures, flyers, newsletters, postcards, greeting cards, or e-mail newsletters without graphic design experience. Learn to 
customize templates with your own brand elements, manipulate photographs, and transform text into fine typography. Get started 
on designing beautiful graphical documents without having to learn complex software programs.
Prerequisite: Microsoft Windows experience.
Requirements: None",Nov 14,Nov 15,900,1559,W,04/01/13 9:00,04/01/13 16:00,295,14.75
201382,1427,ECOM,3032,Microsoft Excel Level 3,"This course focuses on Excel’s powerful advanced features, including pivot tables, customization, workbook 
collaboration and auditing, filtering, macros, data analyzation and more.
Prerequisite: Microsoft Excel Level 2 or equivalent experience.",Nov 15,Nov 16,900,1559,F,04/01/13 9:00,04/01/13 16:00,195,9.75
201382,1853,ECOM,3094,AutoCAD Essentials,"This powerful engineering, design and drafting tool is one of the most commonly used programs in industry today.  In this comprehensive 30 hour course, participants will work with the instructor in a step-by-step learning process using a series of tutorials and exercises. Topics covered in this course will include: 
* drawing set-up
* creating 2D geometric shapes
* editing techniques
* drawing aids
* display controls
* text
* layers 
* introduction to dimensioning and hatching  
Emphasis in the course will be influenced by the needs of the participants. 
Prerequisite: Participants should have a basic knowledge of drafting, design, or engineering principles, and above average experience with Microsoft Windows.  
Textbook: Participant to purchase Learning AutoCAD 2010 Essentials Volume 1 & 2 (ECOM 3094) (available at the RDC Bookstore.",Nov 16,Nov 17,1830,2129,MW,04/01/13 18:30,04/01/13 21:30,1198,29.95
201382,1853,ECOM,3094,AutoCAD Essentials,"This powerful engineering, design and drafting tool is one of the most commonly used programs in industry today.  In this comprehensive 30 hour course, participants will work with the instructor in a step-by-step learning process using a series of tutorials and exercises. Topics covered in this course will include: 
* drawing set-up
* creating 2D geometric shapes
* editing techniques
* drawing aids
* display controls
* text
* layers 
* introduction to dimensioning and hatching  
Emphasis in the course will be influenced by the needs of the participants. 
Prerequisite: Participants should have a basic knowledge of drafting, design, or engineering principles, and above average experience with Microsoft Windows.  
Textbook: Participant to purchase Learning AutoCAD 2010 Essentials Volume 1 & 2 (ECOM 3094) (available at the RDC Bookstore.",Nov 17,Nov 18,1830,2129,W,04/01/13 18:30,04/01/13 21:30,1198,29.95
201382,1158,ECOM,3099,Microsoft Project,"As a project manager, Microsoft Project is an essential tool to control and track any kind of projects. Learn to plan your project, schedule tasks, assign resources, track project progress, generate reports, manage multiple 
projects, customize projects, use network diagrams, progress lines, provide earned value analysis, and more!
Prerequisite: Microsoft Windows experience.",Nov 18,Nov 19,900,1559,W,04/01/13 9:00,04/01/13 16:00,590,29.5
201382,1421,ECOM,3104,Microsoft Office Essentials,"Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any 
organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and 
PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most 
sought-after productivity applications: Word, Excel, and PowerPoint.
Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",Nov 19,Nov 20,900,1559,F,04/01/13 9:00,04/01/13 16:00,1590,39.75
201382,1421,ECOM,3104,Microsoft Office Essentials,"Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any 
organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and 
PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most 
sought-after productivity applications: Word, Excel, and PowerPoint.
Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",Nov 20,Nov 21,900,1559,F,04/01/13 9:00,04/01/13 16:00,1590,39.75
201382,2536,ECOM,3104,Microsoft Office Essentials,"Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any 
organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and 
PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most 
sought-after productivity applications: Word, Excel, and PowerPoint.
Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",Nov 21,Nov 22,1800,2059,TR,04/01/13 18:00,04/01/13 21:00,795,39.75
201382,1189,ECOM,3109,Microsoft Word Level 1,"Take the first step towards producing professional quality documents quickly and easily! Familiarize yourself with the Word interface and its powerful features such as toolbars, commands, keyboard shortcuts, and the 
Quick Access Toolbar to format text, paragraphs and pages. Learn to create beautiful cover sheets; add headers and footers, and 
more!  Take your documents from bland to brilliant.
Prerequisite: Microsoft Windows or equivalent experience.
Requirements: None",Nov 22,Nov 23,900,1559,F,04/01/13 9:00,04/01/13 16:00,179,8.95
201382,1193,ECOM,3110,Microsoft Excel Level 1,"It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, 
calculations of future profits and losses, even the office hockey pool! You will learn to format and customize 
spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",Nov 23,Nov 24,900,1559,F,04/01/13 9:00,04/01/13 16:00,195,9.75
