"Ssbsect Term Code","Ssbsect, Crn","Ssbsect, ,. Subj Code","Ssbsect Crse Numb","Section-Course Title","zst_clob_to_string  'SCBDESC' ","Ssrmeet Start Date","Ssrmeet End Date","Ssrmeet Begin Time","Ssrmeet End Time","Ssrmeet All Days","Ssrmeet Begin Time am/pm","Ssrmeet End Time am/pm round up to 1/2 hr","Ssrfees Fees c","Ssrfees GST c"
"201382","1204","ECOM","3014","Microsoft Publisher","Produce visually compelling publications and marketing materials with ease using Microsoft Publisher. Easily create high quality brochures, flyers, newsletters, postcards, greeting cards, or e-mail newsletters without graphic design experience. Learn to customize templates with your own brand elements, manipulate photographs, and transform text into fine typography. Get started 
on designing beautiful graphical documents without having to learn complex software programs.

Prerequisite: Microsoft Windows experience.

Requirements: None",2012-11-14 12:00 AM,2012-11-21 12:00 AM,"0900","1559","W",2013-05-01 09:00 AM,2013-05-01 04:00 PM,295,14.75
"201382","1427","ECOM","3032","Microsoft Excel Level 3","This course focuses on Excel’s powerful advanced features, including pivot tables, customization, workbook collaboration and auditing, filtering, macros, data analyzation and more.
Prerequisite: Microsoft Excel Level 2 or equivalent experience.",2012-11-30 12:00 AM,2012-11-30 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","1853","ECOM","3094","AutoCAD Essentials","This powerful engineering, design and drafting tool is one of the most commonly used programs in industry today.  In this comprehensive 30 hour course, participants will work with the instructor in a step-by-step learning process using a series of tutorials and exercises. Topics covered in this course will include: 
* drawing set-up
* creating 2D geometric shapes
* editing techniques
* drawing aids
* display controls
* text
* layers 
* introduction to dimensioning and hatching  

Emphasis in the course will be influenced by the needs of the participants. 

Prerequisite: Participants should have a basic knowledge of drafting, design, or engineering principles, and above average experience with Microsoft Windows.  

Textbook: Participant to purchase Learning AutoCAD 2010 Essentials Volume 1 & 2 (ECOM 3094) (available at the RDC Bookstore.",2012-10-10 12:00 AM,2012-11-07 12:00 AM,"1830","2129","MW",2013-05-01 06:30 PM,2013-05-01 09:30 PM,1198,29.95
"201382","1853","ECOM","3094","AutoCAD Essentials","This powerful engineering, design and drafting tool is one of the most commonly used programs in industry today.  In this comprehensive 30 hour course, participants will work with the instructor in a step-by-step learning process using a series of tutorials and exercises. Topics covered in this course will include: 
* drawing set-up
* creating 2D geometric shapes
* editing techniques
* drawing aids
* display controls
* text
* layers 
* introduction to dimensioning and hatching  

Emphasis in the course will be influenced by the needs of the participants. 

Prerequisite: Participants should have a basic knowledge of drafting, design, or engineering principles, and above average experience with Microsoft Windows.  

Textbook: Participant to purchase Learning AutoCAD 2010 Essentials Volume 1 & 2 (ECOM 3094) (available at the RDC Bookstore.",2012-11-14 12:00 AM,2012-11-14 12:00 AM,"1830","2129","W",2013-05-01 06:30 PM,2013-05-01 09:30 PM,1198,29.95
"201382","1158","ECOM","3099","Microsoft Project","As a project manager, Microsoft Project is an essential tool to control and track any kind of projects. Learn to plan your project, schedule tasks, assign resources, track project progress, generate reports, manage multiple 
projects, customize projects, use network diagrams, progress lines, provide earned value analysis, and more!

Prerequisite: Microsoft Windows experience.",2012-11-14 12:00 AM,2012-11-28 12:00 AM,"0900","1559","W",2013-05-01 09:00 AM,2013-05-01 04:00 PM,590,29.5
"201382","1421","ECOM","3104","Microsoft Office Essentials","Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most sought-after productivity applications: Word, Excel, and PowerPoint.

Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",2012-10-12 12:00 AM,2012-11-02 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,1590,39.75
"201382","1421","ECOM","3104","Microsoft Office Essentials","Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most sought-after productivity applications: Word, Excel, and PowerPoint.

Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",2012-11-16 12:00 AM,2012-11-23 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,1590,39.75
"201382","2536","ECOM","3104","Microsoft Office Essentials","Microsoft Office is the worldwide standard in office productivity software and a must-have computer requirement for any organization in business today. This course includes the complete individual Level 1 and Level 2 courses in Word, Excel and PowerPoint and will save you over $300 compared to taking the courses individually!  Increase your skills with the three most sought-after productivity applications: Word, Excel, and PowerPoint.

Prerequisite: Microsoft Windows or equivalent experience and basic keyboarding skills.",2012-10-23 12:00 AM,2012-11-29 12:00 AM,"1800","2059","TR",2013-05-01 06:00 PM,2013-05-01 09:00 PM,795,39.75
"201382","1189","ECOM","3109","Microsoft Word Level 1","Take the first step towards producing professional quality documents quickly and easily! Familiarize yourself with the Word interface and its powerful features such as toolbars, commands, keyboard shortcuts, and the Quick Access Toolbar to format text, paragraphs and pages. Learn to create beautiful cover sheets; add headers and footers, and more!  Take your documents from bland to brilliant.

Prerequisite: Microsoft Windows or equivalent experience.

Requirements: None",2012-10-12 12:00 AM,2012-10-12 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","1193","ECOM","3110","Microsoft Excel Level 1","It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, calculations of future profits and losses, even the office hockey pool! You will learn to format and customize spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",2012-10-26 12:00 AM,2012-10-26 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","1889","ECOM","3110","Microsoft Excel Level 1","It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, calculations of future profits and losses, even the office hockey pool! You will learn to format and customize spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",2012-12-04 12:00 AM,2012-12-04 12:00 AM,"0900","1559","T",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","1951","ECOM","3110","Microsoft Excel Level 1","It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, calculations of future profits and losses, even the office hockey pool! You will learn to format and customize spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",2012-09-28 12:00 AM,2012-09-28 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","2654","ECOM","3110","Microsoft Excel Level 1","It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, calculations of future profits and losses, even the office hockey pool! You will learn to format and customize spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",2012-10-30 12:00 AM,2012-10-30 12:00 AM,"0900","1559","T",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","864","ECOM","3110","Microsoft Excel Level 1","It's easy to learn this powerful spreadsheet application. You can use Excel to create lists, budgets, inventory tracking, calculations of future profits and losses, even the office hockey pool! You will learn to format and customize spreadsheets, enter and manipulate data, create formulas using your data and produce charts. 
Prerequisite: Microsoft Windows or equivalent experience.",2012-11-06 12:00 AM,2012-11-08 12:00 AM,"1800","2059","TR",2013-05-01 06:00 PM,2013-05-01 09:00 PM,195,9.75
"201382","1196","ECOM","3111","Microsoft Access Level 1","Microsoft Access is a powerful database program to store all kinds of information—from a simple list of contacts to an inventory catalog with tens of thousands of products.Learn to navigate through Access, create a database, manipulate data, and create forms and basic reports.Be more efficient and increase productivity with the advantages of a database: store, retrieve, manipulate, and print information faster.  

Prerequisite: Experience with Microsoft Windows and other Microsoft Office products such as Word or Excel is recommended.

Requirements: None",2012-10-11 12:00 AM,2012-10-11 12:00 AM,"0900","1559","R",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","1199","ECOM","3112","Microsoft PowerPoint Level 1","Transform your ideas into professional, dynamic presentations with Microsoft PowerPoint. Whether you’re delivering annual sales statistics to a large audience or creating a personal slide show of your recent trip abroad, PowerPoint has all the tools you need to get your message across.

Familiarize yourself with the PowerPoint interface and its many features including the Quick Access Toolbar, commands, and keyboard shortcuts. Work with text, WordArt and other objects, and create compelling slides that include pictures, drawings, and graphics. Design attractive presentations for more impact and take them from bland to brilliant.

Prerequisite: Microsoft Windows or equivalent experience.

Requirements: None",2012-10-19 12:00 AM,2012-10-19 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","1191","ECOM","3115","Microsoft Word Level 2","Save tons of time to create and format your documents with Word’s powerful formatting techniques. Create compelling documents with themes and styles, inserting shapes and pictures, and neatly arrange your text with tables. Learn 
how to create personalized letters to all your customers using mail merge, collaborate with others with tracking tools, and password protect your documents.
Communicate your reports more effectively using some easy page organization, graphics that summarize key points, and visual cues that guide the reader.

Prerequisite: Microsoft Word Level 1 or equivalent experience.

Requirements: None",2012-11-02 12:00 AM,2012-11-02 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","1194","ECOM","3116","Microsoft Excel Level 2","You've mastered the basics of spreadsheets - now you're ready to explore advanced formulas and functions, linking sheets, manipulating data and using analysis tools and drawing features. You will be able to create complex and professional spreadsheets in an efficient manner. 
Prerequisite: Microsoft Excel Level 1 or equivalent experience.",2012-11-23 12:00 AM,2012-11-23 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","1952","ECOM","3116","Microsoft Excel Level 2","You've mastered the basics of spreadsheets - now you're ready to explore advanced formulas and functions, linking sheets, manipulating data and using analysis tools and drawing features. You will be able to create complex and professional spreadsheets in an efficient manner. 
Prerequisite: Microsoft Excel Level 1 or equivalent experience.",2012-10-31 12:00 AM,2012-10-31 12:00 AM,"0900","1559","W",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","900","ECOM","3116","Microsoft Excel Level 2","You've mastered the basics of spreadsheets - now you're ready to explore advanced formulas and functions, linking sheets, manipulating data and using analysis tools and drawing features. You will be able to create complex and professional spreadsheets in an efficient manner. 
Prerequisite: Microsoft Excel Level 1 or equivalent experience.",2012-11-27 12:00 AM,2012-11-29 12:00 AM,"1800","2059","TR",2013-05-01 06:00 PM,2013-05-01 09:00 PM,195,9.75
"201382","1200","ECOM","3118","Microsoft PowerPoint Level 2","Take your presentations from ordinary to extraordinary with the powerful features of PowerPoint.  Present your information with dynamic-looking charts and use PowerPoint’s SmartArt tool, a handy new feature that lets you create and insert designer-quality diagrams. Create impact with transition and animation effects, and keep things interesting and entertaining with multimedia. Create and share dynamic presentations with exciting new audio and visual capabilities to help you tell a story that is as easy to create as it is powerful to watch.

Prerequisite: Microsoft Windows or equivalent experience.

Requirements: None",2012-11-16 12:00 AM,2012-11-16 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
